current,A1,A2,A3,voltage,power,frequency
218.012664795,228.180709839,193.67918396,232.178085327,247.739456177,159.452921875,50.1942443848
217.998428345,228.176605225,193.676895142,232.141830444,247.753234863,159.428796875,50.1953735352
217.976287842,228.158889771,193.651641846,232.118331909,247.744949341,159.395484375,50.1955833435
217.958145142,228.135177612,193.64352417,232.095794678,247.742904663,159.367625,50.1939048767
217.928527832,228.133163452,193.600616455,232.051818848,247.753616333,159.33309375,50.1938056946
217.899902344,228.111663818,193.56451416,232.023544312,247.749267578,159.297296875,50.1929779053
217.900238037,228.157592773,193.557174683,231.98600769,247.77911377,159.909140625,50.1900482178
217.901916504,228.190231323,193.537857056,231.977706909,247.808532715,159.89553125,50.1881866455
218.815292358,230.950408936,193.528121948,231.967330933,247.825042725,159.908328125,50.1865158081
218.385131836,229.698623657,193.521087646,231.935668945,247.849105835,159.898328125,50.1860733032
218.365219116,229.672470093,193.522033691,231.901138306,247.87701416,159.89290625,50.1875686646
217.091339111,225.885681152,193.50402832,231.884277344,247.906661987,159.05465625,50.1850891113
215.136535645,220.080429077,193.482879639,231.846313477,247.931503296,157.610546875,50.1833839417
215.126953125,220.078094482,193.477935791,231.824874878,247.937316895,157.596359375,50.182472229
212.370025635,220.071838379,193.455276489,223.582931519,247.951599121,155.61346875,50.1827659607
211.963973999,220.067489624,193.456100464,222.368331909,247.966796875,155.595328125,50.1831970215
211.965988159,220.073287964,193.447723389,222.376922607,247.979690552,155.5796875,50.1852226257
211.967407227,220.078872681,193.446807861,222.376525879,247.990188599,155.56040625,50.1848754883
211.972167969,220.087860107,193.453369141,222.375274658,248.006011963,155.55009375,50.186000824
211.964508057,220.093017578,193.44090271,222.359588623,248.02394104,155.53084375,50.1848258972
211.952987671,220.102737427,193.411239624,222.344970703,248.042633057,155.50890625,50.1863861084
211.935714722,220.091644287,193.394744873,222.320770264,248.05696106,155.485703125,50.1863021851
211.930603027,220.097320557,193.368362427,222.326126099,248.068527222,155.467046875,50.1876754761
211.928497314,220.091674805,193.370483398,222.323364258,248.083770752,155.45625,50.1898880005
211.916824341,220.096343994,193.326248169,222.327850342,248.102294922,155.4414375,50.1888961792
211.912017822,220.10319519,193.298217773,222.334640503,248.129272461,155.437046875,50.1865768433
211.910430908,220.096817017,193.302841187,222.331634521,248.131088257,155.424828125,50.1865196228
211.908706665,220.105499268,193.299057007,222.321594238,248.125747681,155.408046875,50.1875839233
211.902526855,220.121627808,193.282546997,222.303436279,248.131744385,155.395484375,50.1840934753
211.890960693,220.106124878,193.275192261,222.291549683,248.127227783,155.379078125,50.184753418
211.879058838,220.105209351,193.246810913,222.285125732,248.121429443,155.358203125,50.1837310791
211.872085571,220.112670898,193.230865479,222.272735596,248.11026001,155.33990625,50.1827735901
211.869338989,220.118652344,193.206283569,222.283096313,248.097229004,155.3254375,50.1830482483
211.864685059,220.148605347,193.166931152,222.278533936,248.096069336,155.3061875,50.1834640503
211.857192993,220.155532837,193.127822876,222.288192749,248.084899902,155.28625,50.1838302612
211.866043091,220.165771484,193.14491272,222.287414551,248.070480347,155.279375,50.1842002869
211.873458862,220.210540771,193.137573242,222.27230835,248.065979004,155.27503125,50.1846084595
212.550094604,222.192733765,193.167449951,222.290130615,248.052200317,155.31384375,50.1858596802
213.816009521,223.409057617,194.22718811,223.811813354,248.040588379,156.144109375,50.1858901978
211.560470581,220.849609375,192.232315063,221.599487305,248.047134399,155.46340625,50.1876144409
211.551635742,220.833496094,192.218063354,221.60333252,248.049087524,155.430640625,50.188243866
211.553359985,220.843338013,192.22328186,221.593475342,248.055709839,155.403203125,50.1899490356
211.601913452,220.893936157,192.277023315,221.634765625,248.042434692,155.408828125,50.1885910034
211.607147217,220.864486694,192.296096802,221.660842896,248.040206909,155.384296875,50.1900024414
211.587646484,220.828948975,192.294433594,221.639541626,248.057403564,155.348828125,50.1898422241
211.580825806,220.809616089,192.307235718,221.625656128,248.056259155,155.32009375,50.1886367798
211.562744141,220.775085449,192.300308228,221.612792969,248.067504883,155.286875,50.1875152588
211.549728394,220.761489868,192.303451538,221.584259033,248.091522217,155.267484375,50.1882209778
211.530166626,220.736557007,192.291641235,221.562271118,248.098464966,155.24015625,50.1876754761
211.511398315,220.722885132,192.283752441,221.527526855,248.11000061,155.2086875,50.1873664856
211.492980957,220.687072754,192.283905029,221.507995605,248.11605835,155.182140625,50.1875457764
211.488815308,220.66456604,192.284591675,221.517272949,248.123214722,155.168015625,50.1882667542
211.477935791,220.642227173,192.274139404,221.517471313,248.134857178,155.150328125,50.1890411377
211.459594727,220.610488892,192.266235352,221.502044678,248.137435913,155.12671875,50.1904678345
211.450073242,220.594558716,192.245635986,221.510025024,248.151062012,155.11478125,50.1893959045
211.952484131,222.043960571,192.272140503,221.541351318,248.180587769,155.15921875,50.1915206909
216.328491211,226.717025757,196.226821899,226.041595459,248.189727783,158.996078125,50.1917610168
217.210510254,227.969238281,197.579544067,226.082763672,248.213760376,159.04715625,50.1929512024
216.017288208,226.04447937,195.981140137,226.026229858,248.218521118,159.010625,50.1928482056
215.998046875,226.050186157,195.974975586,225.968933105,248.227539062,158.9720625,50.1941833496
213.700302124,226.055923462,189.12298584,225.922012329,248.231201172,157.1805,50.1913528442
213.676956177,226.032501221,189.10925293,225.889144897,248.228530884,157.1465,50.1918678284
213.660263062,226.046005249,189.089324951,225.845443726,248.230529785,157.116609375,50.1918296814
213.643630981,226.044555664,189.076416016,225.809951782,248.225830078,157.085203125,50.193977356
213.638092041,226.04888916,189.072357178,225.793014526,248.210754395,157.0580625,50.1930961609
213.633743286,226.066894531,189.072311401,225.762023926,248.20652771,157.03728125,50.1950531006
213.213562012,226.011734009,189.036010742,224.592956543,248.198684692,156.981578125,50.1962547302
209.513595581,221.509033203,185.237594604,221.794143677,248.194229126,153.52278125,50.1953392029
209.889343262,221.574798584,186.268051147,221.825149536,248.178604126,153.55903125,50.1954689026
209.900604248,221.59262085,186.248535156,221.860595703,248.172210693,153.584984375,50.1935653687
209.861877441,221.532104492,186.190917969,221.862609863,248.195266724,153.58171875,50.1925354004
209.832046509,221.510101318,186.148498535,221.837539673,248.204452515,153.579484375,50.1928024292
209.80531311,221.474395752,186.105667114,221.835845947,248.201538086,153.568984375,50.1937942505
209.768386841,221.442687988,186.057922363,221.804519653,248.199401855,153.551765625,50.1928253174
209.416748047,221.397766113,185.054611206,221.797851562,248.186019897,153.5321875,50.1939926147
209.408950806,221.381622314,185.069946289,221.775253296,248.183334351,153.517375,50.191532135
209.403198242,221.345123291,185.095413208,221.76902771,248.165115356,153.50496875,50.1918373108
209.403198242,221.319168091,185.115631104,221.774841309,248.15663147,153.498890625,50.1909179688
209.402740479,221.294937134,185.129882812,221.783432007,248.15184021,153.49228125,50.1919975281
209.39125061,221.253631592,185.148864746,221.771209717,248.145904541,153.483125,50.1895027161
209.376678467,221.210006714,185.152770996,221.76725769,248.141983032,153.469328125,50.1921653748
209.371109009,221.163528442,185.182861328,221.766906738,248.137557983,153.461265625,50.1928291321
209.379959106,221.140106201,185.194503784,221.805236816,248.123825073,153.46003125,50.1938400269
209.404769897,221.141403198,185.234817505,221.83807373,248.125823975,153.476921875,50.1925582886
209.418960571,221.127182007,185.269058228,221.860656738,248.129745483,153.490078125,50.1944122314
209.425704956,221.101348877,185.294845581,221.880950928,248.13923645,153.49890625,50.1954803467
209.427276611,221.080368042,185.31892395,221.882553101,248.142974854,153.499921875,50.1966438293
209.434860229,221.057067871,185.331741333,221.915802002,248.133422852,153.50109375,50.1966438293
209.451950073,221.041183472,185.364624023,221.950088501,248.131668091,153.505734375,50.195098877
209.47064209,221.037811279,185.398910522,221.975219727,248.119689941,153.512671875,50.1960487366
209.47946167,221.020019531,185.415557861,222.002838135,248.113769531,153.516453125,50.1974182129
209.481582642,221.015487671,185.419586182,222.009643555,248.110946655,153.513296875,50.1971855164
209.479568481,220.989318848,185.424621582,222.024749756,248.100540161,153.510265625,50.1956977844
209.475021362,220.983718872,185.412200928,222.029098511,248.104705811,153.508875,50.1935577393
209.491195679,220.996231079,185.419113159,222.058242798,248.0962677,153.51728125,50.1911849976
209.516036987,221.009796143,185.437271118,222.10105896,248.089324951,153.532390625,50.1920890808
209.538284302,221.028427124,185.46421814,222.122192383,248.093017578,153.550828125,50.1910667419
209.552810669,221.026199341,185.497146606,222.135055542,248.093414307,153.565359375,50.1926879883
209.558609009,221.019866943,185.509307861,222.146682739,248.105895996,153.576265625,50.1945877075
209.562149048,221.007400513,185.527908325,222.151107788,248.123672485,153.5865,50.1958045959
209.579284668,221.023178101,185.539764404,222.17489624,248.137802124,153.606875,50.1951255798
209.594619751,221.047897339,185.54196167,222.193984985,248.159423828,153.62503125,50.1975402832
209.597412109,221.048583984,185.553497314,222.190139771,248.162368774,153.632828125,50.1998558044
209.603973389,221.06022644,185.552780151,222.198928833,248.163253784,153.637203125,50.2014732361
209.609344482,221.073394775,185.564437866,222.190231323,248.164749146,153.64034375,50.200012207
209.617706299,221.075683594,185.575424194,222.202041626,248.159469604,153.643796875,50.1989631653
209.644058228,221.115325928,185.604660034,222.212234497,248.164276123,153.658953125,50.197353363
209.665267944,221.131607056,185.644058228,222.22013855,248.14175415,153.666625,50.1979942322
209.675262451,221.139465332,185.653366089,222.232971191,248.125610352,153.663109375,50.1947860718
209.674240112,221.141326904,185.659606934,222.221817017,248.114318848,153.656296875,50.1933898926
209.699066162,221.163803101,185.682235718,222.25112915,248.095870972,153.6664375,50.192905426
209.732635498,221.20451355,185.719284058,222.274093628,248.092910767,153.6835625,50.192073822
209.765182495,221.237457275,185.765594482,222.292526245,248.077194214,153.701203125,50.1925430298
209.784896851,221.246963501,185.797012329,222.31072998,248.061386108,153.70590625,50.1910667419
209.795501709,221.26739502,185.803283691,222.315811157,248.06628418,153.715625,50.1898078918
210.889877319,224.551620483,185.800888062,222.317138672,248.076004028,154.57425,50.1897583008
210.899490356,224.601043701,185.791976929,222.305465698,248.078033447,154.58290625,50.1907463074
211.534393311,226.468948364,185.814987183,222.319259644,248.069473267,154.61328125,50.1929473877
211.551498413,226.491378784,185.817077637,222.346054077,248.04989624,154.64325,50.1924285889
211.569580078,226.529266357,185.822845459,222.356643677,248.047897339,154.68053125,50.1956176758
211.586395264,226.564346313,185.846817017,222.347991943,248.042007446,154.717046875,50.1933860779
211.60168457,226.600738525,185.852844238,222.35144043,248.026199341,154.745359375,50.1934242249
211.617401123,226.637664795,185.865142822,222.349411011,248.014266968,154.775546875,50.1945915222
211.653030396,226.702987671,185.880447388,222.37562561,247.99861145,154.81696875,50.1937446594
211.696640015,226.770126343,185.926040649,222.393737793,247.986328125,154.859703125,50.1927375793
211.734725952,226.835113525,185.962814331,222.40625,247.954681396,154.893875,50.1930427551
211.772491455,226.901184082,185.983108521,222.433181763,247.928024292,154.92840625,50.1947250366
211.786026001,226.956710815,185.993164062,222.408218384,247.906814575,154.94659375,50.1918258667
211.789596558,226.976409912,186.018096924,222.374267578,247.877334595,154.956109375,50.1898994446
211.804626465,227.018798828,186.053100586,222.34197998,247.869857788,154.9798125,50.1899833679
209.132324219,223.863601685,183.97328186,219.560073853,247.868743896,153.27440625,50.1894111633
208.198410034,220.300643921,187.587188721,216.707366943,247.864212036,152.55378125,50.190158844
208.18711853,220.305023193,187.547485352,216.708862305,247.860641479,152.5464375,50.1907501221
208.198013306,220.296157837,187.572662354,216.725204468,247.854629517,152.56096875,50.1927604675
208.221832275,220.286331177,187.613388062,216.765808105,247.847579956,152.582375,50.192111969
208.578231812,220.291259766,188.663131714,216.780349731,247.833251953,152.601328125,50.1931228638
208.598480225,220.283477783,188.681289673,216.8306427,247.809158325,152.626203125,50.1940727234
209.412475586,220.308929443,188.733016968,219.195449829,247.797851562,152.687546875,50.1951980591
210.959838867,220.327362061,189.978439331,222.573745728,247.785614014,154.510359375,50.1947441101
210.981735229,220.347976685,189.974273682,222.622970581,247.77180481,154.519421875,50.1934356689
211.011550903,220.40864563,189.972396851,222.653625488,247.765884399,154.53790625,50.1926078796
212.496810913,224.870391846,189.975769043,222.644241333,247.757064819,155.5519375,50.1907920837
212.066085815,223.592391968,189.970947266,222.63494873,247.73979187,155.526171875,50.1901855469
212.086837769,223.60609436,190.015640259,222.638793945,247.725036621,155.522265625,50.1906967163
212.112304688,223.643875122,190.049194336,222.643829346,247.722366333,155.530046875,50.1899490356
216.714904785,237.422317505,190.072479248,222.649887085,247.707611084,158.4836875,50.1920280457
216.266830444,236.055786133,190.096282959,222.648406982,247.685272217,158.476046875,50.1930351257
216.28074646,236.082931519,190.099014282,222.660385132,247.662612915,158.468953125,50.1918869019
216.297988892,236.131072998,190.11050415,222.652420044,247.635498047,158.46521875,50.1915016174
216.79876709,237.6068573,190.116638184,222.672790527,247.61416626,158.481734375,50.1925849915
217.322525024,239.179794312,190.118774414,222.669052124,247.600830078,159.077296875,50.192615509
217.33442688,239.228790283,190.114273071,222.66015625,247.590881348,159.087953125,50.1938858032
217.341918945,239.287765503,190.087051392,222.6509552,247.588653564,159.09621875,50.1944313049
217.330551147,239.339782715,190.048110962,222.60383606,247.590194702,159.092390625,50.1910552979
217.318237305,239.390151978,190.006790161,222.557739258,247.588302612,159.088453125,50.1916275024
217.297821045,239.429992676,189.963546753,222.499984741,247.597702026,159.08115625,50.1909484863
217.292236328,239.465072632,189.950683594,222.4609375,247.603500366,159.083375,50.190864563
217.285202026,239.500091553,189.920410156,222.435089111,247.603729248,159.08434375,50.1935691833
217.276153564,239.538635254,189.886184692,222.403717041,247.615142822,159.086078125,50.1957588196
217.251708984,239.531677246,189.861114502,222.362304688,247.623672485,159.081109375,50.1974334717
217.219985962,239.513122559,189.817367554,222.329483032,247.649093628,159.074953125,50.2011756897
217.190063477,239.485809326,189.794403076,222.289962769,247.67401123,159.06878125,50.2029876709
217.193572998,239.508728027,189.784301758,222.287658691,247.669448853,159.078375,50.2051239014
217.184524536,239.510940552,189.771133423,222.27154541,247.696777344,159.08415625,50.2074241638
217.1665802,239.506393433,189.756576538,222.236724854,247.695053101,159.082625,50.2082748413
217.142150879,239.483703613,189.71836853,222.224334717,247.728134155,159.08040625,50.2088813782
217.140884399,239.481552124,189.715057373,222.226074219,247.732940674,159.087703125,50.2092666626
210.268066406,233.194610596,182.82069397,214.788925171,247.745574951,154.298484375,50.2132759094
214.851730347,233.192947388,196.601470947,214.760726929,247.770233154,157.40109375,50.2155914307
212.502990723,233.151931763,189.574768066,214.782302856,247.77923584,155.916578125,50.2132797241
212.826904297,233.137832642,190.53302002,214.809860229,247.807342529,155.9354375,50.215385437
212.810043335,233.079956055,190.549087524,214.801071167,247.815231323,155.936953125,50.2184143066
212.78302002,233.027267456,190.523193359,214.798568726,247.831573486,155.93040625,50.2182540894
212.783111572,233.002563477,190.538070679,214.80871582,247.845489502,155.947625,50.2202262878
212.762252808,232.949325562,190.51373291,214.82371521,247.876739502,155.956515625,50.2220306396
212.717605591,232.896453857,190.454528809,214.801834106,247.914520264,155.9511875,50.2239875793
212.696395874,232.837982178,190.41708374,214.834106445,247.93196106,155.953140625,50.2263526917
212.64982605,232.806091309,190.363128662,214.78024292,247.960983276,155.937421875,50.2235946655
212.226928711,232.769119263,189.15007019,214.761611938,247.953536987,155.915171875,50.2243232727
212.23840332,232.759872437,189.187255859,214.768081665,247.977966309,155.9148125,50.2257575989
212.218154907,232.729309082,189.201034546,214.724136353,247.971832275,155.8945625,50.2287979126
212.21925354,232.728683472,189.226867676,214.702209473,247.962081909,155.87878125,50.2272338867
212.237487793,232.730834961,189.244934082,214.736724854,247.947799683,155.880203125,50.2296333313
212.228256226,232.7212677,189.250915527,214.712554932,247.95980835,155.86546875,50.2296142578
212.262786865,232.732711792,189.283935547,214.771713257,247.934539795,155.878140625,50.2283096313
212.289169312,232.756576538,189.322692871,214.788223267,247.955718994,155.88746875,50.2302627563
212.294403076,232.743164062,189.321838379,214.818206787,247.9425354,155.889046875,50.2290229797
212.334274292,232.808959961,189.335678101,214.858200073,247.969711304,155.91590625,50.2310638428
212.320220947,232.768295288,189.316375732,214.875961304,247.948989868,155.900578125,50.2316398621
212.340713501,232.824569702,189.284988403,214.91255188,247.97215271,155.918140625,50.2310943604
212.355545044,232.823577881,189.292633057,214.950439453,247.986938477,155.942203125,50.2347068787
216.454589844,245.149276733,189.252655029,214.96182251,248.014434814,158.8675625,50.2362365723
215.111083984,241.049911499,189.294631958,214.988769531,248.004470825,157.94128125,50.2361831665
215.278549194,242.522003174,188.317840576,214.995864868,248.017852783,157.954046875,50.236995697
215.723464966,242.507064819,189.657333374,215.005996704,248.005233765,157.9764375,50.23828125
215.700881958,242.475082397,189.598510742,215.029067993,248.007827759,157.98871875,50.2399978638
215.673721313,242.443740845,189.563583374,215.013778687,248.003845215,157.99153125,50.2406387329
215.675338745,242.433013916,189.531356812,215.06161499,247.999435425,158.015453125,50.2401657104
215.655883789,242.389953613,189.517074585,215.060638428,248.001663208,158.020609375,50.2422523499
216.027893066,242.358078003,189.487014771,216.238616943,247.992324829,158.038015625,50.241645813
215.614746094,242.304458618,189.465774536,215.073974609,247.997070312,158.034265625,50.2416419983
216.065261841,242.265045166,189.446685791,216.484054565,247.98500061,158.053625,50.2405204773
215.517471313,242.221832275,189.433410645,214.897140503,247.994064331,158.050734375,50.2386894226
216.009521484,242.157653809,189.437438965,216.433517456,247.970870972,158.064359375,50.2379608154
215.988616943,242.147491455,189.439254761,216.379150391,247.989974976,158.081515625,50.2363853455
215.95211792,242.094039917,189.40435791,216.357940674,247.971679688,158.085140625,50.2354393005
215.930252075,242.088226318,189.39100647,216.311553955,247.990829468,158.099984375,50.2337417603
215.875015259,242.016738892,189.345275879,216.2631073,247.961547852,158.085984375,50.2338256836
215.871353149,242.022537231,189.338562012,216.253005981,247.981277466,158.109359375,50.2325820923
215.838302612,241.961257935,189.327865601,216.225784302,247.965133667,158.111,50.2302818298
215.806106567,241.957046509,189.285293579,216.175964355,247.973937988,158.11021875,50.2325172424
215.800140381,241.929443359,189.324554443,216.146362305,247.951705933,158.1245,50.2314224243
215.743545532,241.875442505,189.270980835,216.084197998,247.966644287,158.108640625,50.2339324951
215.373428345,241.851318359,189.298187256,214.970809937,247.944763184,158.105421875,50.231842041
215.376724243,241.823181152,189.292739868,215.014251709,247.938659668,158.10759375,50.2319717407
215.362594604,241.78855896,189.300857544,214.998382568,247.929611206,158.0905,50.2329444885
215.372848511,241.773529053,189.315765381,215.029327393,247.909378052,158.097984375,50.2324638367
215.348098755,241.751464844,189.317123413,214.975646973,247.92137146,158.082953125,50.232208252
214.951690674,240.524871826,189.330123901,215.000061035,247.904525757,158.072203125,50.2319488525
215.357254028,241.756500244,189.342636108,214.972640991,247.918777466,158.069015625,50.2304000854
214.862258911,240.28968811,189.333312988,214.963745117,247.910797119,158.0489375,50.2301940918
214.883514404,240.362915039,189.315765381,214.971862793,247.953155518,158.055890625,50.2307167053
214.884399414,240.372894287,189.310241699,214.970077515,247.940307617,158.03915625,50.2263793945
214.872680664,240.389633179,189.275039673,214.953414917,247.931610107,158.01453125,50.2278366089
214.887680054,240.405853271,189.299133301,214.958068848,247.922714233,158.007703125,50.2273864746
214.528060913,240.431854248,188.22088623,214.93145752,247.934158325,157.978171875,50.2290344238
214.870544434,240.444915771,189.272750854,214.893966675,247.927856445,157.9528125,50.2271499634
214.887023926,240.482131958,189.263473511,214.91545105,247.924240112,157.952921875,50.2267837524
214.875991821,240.479873657,189.238098145,214.909927368,247.939285278,157.93528125,50.2303352356
214.893478394,240.480300903,189.25869751,214.941452026,247.918930054,157.930984375,50.2301445007
214.889877319,240.513122559,189.262588501,214.893920898,247.944091797,157.92075,50.2329101562
214.878097534,240.471496582,189.265350342,214.897445679,247.931442261,157.901796875,50.2338905334
214.881530762,240.49079895,189.272125244,214.881652832,247.961700439,157.8985625,50.2342681885
214.848144531,240.438446045,189.24230957,214.863647461,247.95274353,157.872,50.2380104065
214.859985352,240.47996521,189.235107422,214.864852905,247.991378784,157.881890625,50.2402267456
214.409469604,239.183364868,189.210464478,214.834579468,247.99937439,157.85825,50.238445282
214.422088623,239.249786377,189.185150146,214.831283569,248.027389526,157.848484375,50.240020752
214.423416138,239.267486572,189.186004639,214.816726685,248.022491455,157.834828125,50.239906311
214.420227051,239.314666748,189.138885498,214.807144165,248.044219971,157.814171875,50.2405319214
214.451416016,239.368545532,189.169021606,214.816680908,248.030517578,157.818796875,50.240940094
214.436386108,239.40977478,189.116851807,214.782516479,248.051940918,157.7940625,50.2406196594
214.45072937,239.441192627,189.154495239,214.756484985,248.044387817,157.789625,50.239528656
214.427886963,239.473907471,189.105621338,214.704147339,248.06829834,157.7645625,50.2400054932
214.430587769,239.510513306,189.122146606,214.659072876,248.0675354,157.750640625,50.2401733398
214.407852173,239.547866821,189.065841675,214.609817505,248.084182739,157.72325,50.2401275635
214.411712646,239.599395752,189.078994751,214.556793213,248.078704834,157.7093125,50.2392425537
214.413742065,239.636581421,189.060043335,214.544631958,248.097915649,157.708796875,50.2385635376
214.387557983,239.647171021,189.034622192,214.480911255,248.120437622,157.69109375,50.2393569946
214.384170532,239.659866333,189.016845703,214.475753784,248.13420105,157.689953125,50.240398407
213.953369141,239.675949097,188.998306274,213.185852051,248.155349731,157.67184375,50.240486145
214.399551392,239.685012817,189.003952026,214.509765625,248.16809082,157.679828125,50.2406044006
213.974365234,239.707839966,188.996826172,213.218444824,248.202148438,157.672546875,50.2407226562
215.247161865,239.782043457,190.790863037,215.168563843,248.190765381,158.1851875,50.2389297485
217.621139526,243.63848877,192.825622559,216.399291992,248.214828491,160.290328125,50.2399787903
215.202468872,240.316467285,190.720932007,214.569976807,248.199981689,158.6633125,50.2390632629
215.214691162,240.361129761,190.73828125,214.544723511,248.227493286,158.067921875,50.238445282
215.1824646,240.316238403,190.710678101,214.520446777,248.210159302,158.058109375,50.2374725342
215.193557739,240.364120483,190.703262329,214.513305664,248.231887817,158.078796875,50.2382011414
215.166061401,240.327529907,190.672576904,214.498077393,248.213043213,158.0681875,50.236076355
214.847961426,240.343536377,189.698394775,214.501937866,248.237121582,158.06503125,50.2329483032
214.837234497,240.296386719,189.733398438,214.4818573,248.22505188,158.052359375,50.2328147888
214.855545044,240.338928223,189.754699707,214.472991943,248.255889893,158.068375,50.2342185974
214.841659546,240.314620972,189.749252319,214.461120605,248.250534058,158.050171875,50.2316741943
214.235809326,240.308959961,187.978912354,214.419525146,248.264572144,157.35221875,50.2308578491
214.747665405,240.306655884,189.55670166,214.379669189,248.274459839,157.83175,50.2278709412
214.392028809,240.308303833,188.479202271,214.388549805,248.281616211,157.828140625,50.223072052
214.369934082,240.257980347,188.474395752,214.377456665,248.302108765,157.80403125,50.2233886719
214.371383667,240.223846436,188.518554688,214.371688843,248.302597046,157.7888125,50.2211303711
214.378372192,240.217544556,188.547775269,214.369827271,248.298782349,157.77903125,50.2189025879
214.373306274,240.224685669,188.558242798,214.336990356,248.309082031,157.76528125,50.2194747925
214.382568359,240.22845459,188.565490723,214.353775024,248.292129517,157.75884375,50.2168617249
214.41204834,240.288360596,188.588516235,214.35925293,248.30657959,157.772515625,50.2190322876
214.402664185,240.283493042,188.597930908,214.326568604,248.305709839,157.762703125,50.2180099487
214.407028198,240.31413269,188.612930298,214.294021606,248.310562134,157.758546875,50.2138366699
214.428192139,240.337783813,188.654129028,214.292709351,248.299026489,157.762484375,50.2152557373
214.436706543,240.353393555,188.660140991,214.296600342,248.303512573,157.758765625,50.215133667
214.421020508,240.355560303,188.641616821,214.265869141,248.307342529,157.738296875,50.2126846313
214.428497314,240.382873535,188.619888306,214.282791138,248.290710449,157.735171875,50.2126197815
214.872146606,241.674987793,188.657287598,214.284164429,248.291763306,157.75403125,50.2117767334
218.342971802,244.675292969,193.444961548,216.908691406,248.276321411,160.601375,50.2108840942
223.067520142,249.967880249,197.357406616,221.87727356,248.283172607,164.42334375,50.2081680298
221.298751831,247.822006226,196.063980103,220.010284424,248.277099609,163.659875,50.2048873901
221.277236938,247.81048584,196.010360718,220.010848999,248.261871338,163.042703125,50.2026138306
216.347122192,242.736404419,190.637588501,215.667419434,248.242385864,158.816828125,50.2003173828
216.819595337,242.689498901,192.138183594,215.631057739,248.222702026,158.825125,50.1987266541
216.837753296,242.718185425,192.1612854,215.633834839,248.204666138,158.863484375,50.1971817017
216.849960327,242.755996704,192.182983398,215.610870361,248.179244995,158.8916875,50.1955757141
217.893203735,244.705352783,192.230194092,216.74407959,248.162994385,159.47040625,50.1954727173
217.467407227,244.633132935,192.214416504,215.554702759,248.149703979,159.464234375,50.1947975159
216.341369629,242.291534424,191.225692749,215.506896973,248.127487183,159.410875,50.1943855286
216.314819336,242.290267944,191.198028564,215.45614624,248.11491394,158.842484375,50.194694519
216.288742065,242.298583984,191.168701172,215.398971558,248.111465454,158.824828125,50.1927528381
216.270355225,242.310974121,191.139434814,215.360687256,248.094055176,158.809328125,50.193107605
216.261291504,242.335250854,191.123916626,215.324768066,248.088150024,158.8016875,50.1903953552
216.254852295,242.363510132,191.107666016,215.293319702,248.079238892,158.796203125,50.1904792786
216.225799561,242.362945557,191.067947388,215.24647522,248.091201782,158.783265625,50.1893615723
216.183395386,242.340270996,191.025817871,215.184204102,248.099380493,158.760765625,50.1908149719
215.789260864,242.281311035,189.950393677,215.136138916,248.093643188,158.7173125,50.1882400513
215.783737183,242.290023804,189.981826782,215.079330444,248.09425354,158.698109375,50.186000824
215.789337158,242.269714355,190.03742981,215.060913086,248.093170166,158.692828125,50.1862983704
